[Tick #0] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #1] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #2] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #3] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #4] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #5] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #6] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #7] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #8] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #9] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #10] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #11] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #12] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #13] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #14] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #15] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #16] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #17] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #18] Attacker: [0]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #19] Attacker: [0]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #20] Attacker: [0]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #21] Attacker: [0]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #22] Attacker: [0]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #23] Attacker: [0]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #24] Attacker: [0]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #25] Attacker: [0]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #26] Attacker: [0]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #27] Attacker: [0]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #28] Attacker: [0]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #29] Attacker: [0]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #30] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #31] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #32] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #33] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #34] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #35] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #36] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #37] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #38] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #39] Attacker: [3]; Defender #0: [-1]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #40] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #41] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #42] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #43] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #44] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #45] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #46] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #47] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #48] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #49] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #50] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #51] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #52] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #53] Attacker: [3]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #54] Attacker: [0]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #55] Attacker: [0]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #56] Attacker: [0]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #57] Attacker: [0]; Defender #0: [3]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #58] Attacker: [0]; Defender #0: [0]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #59] Attacker: [0]; Defender #0: [0]; Defender #1: [-1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #60] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #61] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #62] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #63] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #64] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #65] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #66] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #67] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #68] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #69] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #70] Attacker: [0]; Defender #0: [3]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #71] Attacker: [0]; Defender #0: [3]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #72] Attacker: [0]; Defender #0: [3]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #73] Attacker: [0]; Defender #0: [3]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #74] Attacker: [0]; Defender #0: [3]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #75] Attacker: [0]; Defender #0: [3]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #76] Attacker: [0]; Defender #0: [3]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #77] Attacker: [0]; Defender #0: [3]; Defender #1: [1]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #78] Attacker: [0]; Defender #0: [3]; Defender #1: [0]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #79] Attacker: [0]; Defender #0: [3]; Defender #1: [0]; Defender #2: [-1]; Defender #3: [-1]; 
[Tick #80] Attacker: [0]; Defender #0: [3]; Defender #1: [0]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #81] Attacker: [0]; Defender #0: [3]; Defender #1: [0]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #82] Attacker: [0]; Defender #0: [0]; Defender #1: [0]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #83] Attacker: [0]; Defender #0: [0]; Defender #1: [0]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #84] Attacker: [0]; Defender #0: [0]; Defender #1: [0]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #85] Attacker: [0]; Defender #0: [0]; Defender #1: [0]; Defender #2: [3]; Defender #3: [-1]; 
